Lat,Long,Station,r_value,p_value,p
7.2,3.33,ABE,-0.44,0,2
6.25,8.19,ABK,-0.56,0,2
9,7.2,ABU,-0.33,0,2
7.6,5.2,ADO,-0.55,0,2
